slug,name,domain,category,ycBatch,description,source
stripe,Stripe,stripe.com,Fintech,S09,Economic infrastructure for the internet.,yc-s09
deel,Deel,deel.com,Finance and Accounting,W19,The all-in-one HR and payroll platform for global teams,yc-w19
rappi,Rappi,rappi.com,Food and Beverage,W16,On-demand delivery and financial services for Latin America.,yc-w16
grubmarket,GrubMarket,grubmarket.com,Supply Chain and Logistics,W15,AI-powered technology enabler and digital transformer of American…,yc-w15
flexport,Flexport,flexport.com,Supply Chain and Logistics,W14,Platform for global logistics.,yc-w14
razorpay,Razorpay,razorpay.com,Payments,W15,India's only full-stack financial solutions company for businesses.,yc-w15
wave,Wave,wave.com,Payments,W12,Mobile money app for Africa,yc-w12
fivetran,Fivetran,fivetran.com,Infrastructure,W13,The leader in automated data movement,yc-w13
flock-safety,Flock Safety,flocksafety.com,"Engineering, Product and Design",S17,The first public safety operating system that eliminates crime.,yc-s17
brex,Brex,brex.com,Banking and Exchange,W17,"Business accounts, corporate cards, and spend management software.",yc-w17
podium,Podium,podium.com,Retail,W16,Get more leads. Make more money.,yc-w16
faire,Faire,faire.com,Retail,W17,The global online platform empowering independent retail.,yc-w17
algolia,Algolia,algolia.com,"Engineering, Product and Design",W14,A developer-friendly and enterprise-grade search API.,yc-w14
newfront-insurance,Newfront,newfront.com,Insurance,W18,Modern insurance brokerage.,yc-w18
checkr,Checkr,checkr.com,Human Resources,S14,People infrastructure for the future of work,yc-s14
benchling,Benchling,benchling.com,B2B,S12,Unlocking the power of biotech with modern software for modern science,yc-s12
zapier,Zapier,zapier.com,Productivity,S12,The easiest way to automate your work.,yc-s12
webflow,Webflow,webflow.com,Marketing,S13,Professional website design and publishing platform.,yc-s13
bird,Bird,bird.com,"Engineering, Product and Design",S16,The world’s largest omnichannel communications platform,yc-s16
scale-ai,Scale AI,scale.com,"Engineering, Product and Design",S16,Data-centric infrastructure to accelerate the development of AI,yc-s16
mixpanel,Mixpanel,mixpanel.com,Analytics,S09,Mixpanel is event analytics for builders that need answers.,yc-s09
scribd,Scribd,scribd.com,Content,S06,World's largest online library.,yc-s06
smartasset,SmartAsset,smartasset.com,Consumer Finance,S12,Marketplace connecting consumers to financial advisors,yc-s12
athelas,Athelas,athelas.com,Healthcare,S16,"Extensible, Integrated Technology that Simplifies Health Systems",yc-s16
akido-labs,Akido Labs,akidolabs.com,Healthcare IT,W15,Rebuilding healthcare with AI at the core,yc-w15
gocardless,GoCardless,gocardless.com,Consumer Finance,S11,We’re building the world’s bank payment network.,yc-s11
apollo-io,Apollo.io,apollo.io,Marketing,W16,Apollo is the foundation of your entire go-to-market strategy.,yc-w16
human-interest,Human Interest,humaninterest.com,Human Resources,S15,The 401(k) for small and medium-sized businesses.,yc-s15
calii,Calii,calii.com,Food and Beverage,S18,Full-stack grocery delivery in LatAm,yc-s18
superside,Superside,superside.com,Productivity,W16,Creative-as-a-service,yc-w16
vanta,Vanta,vanta.com,Security,W18,Vanta—the proven leader in automated compliance helping startups…,yc-w18
xendit,Xendit,xendit.co,Payments,S15,Provides payment infrastructure for Southeast Asia,yc-s15
guesty,Guesty,guesty.com,Housing and Real Estate,W14,The management platform for the short term rental industry.,yc-w14
kapital-bank,Kapital Bank,kapital.mx,Fintech,W22,Data driven neobank for SMBs in LATAM,yc-w22
lemfi,LemFi,lemfi.com,Banking and Exchange,S21,"Fair, simple and accessible financial services",yc-s21
leena-ai,Leena AI,leena.ai,B2B,S18,We at Leena AI build a virtual assistant that answers employee's…,yc-s18
aspire,Aspire,aspireapp.com,Payments,W18,All-in-one Finance OS for businesses,yc-w18
fazz,FAZZ,fazzfinancial.com,Fintech,S17,All-in-one Finance for Every Southeast Asia Business,yc-s17
